SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
-0.02343,-0.015123,-0.015666,-0.031549999999999995,-0.022189999999999998,-0.034949
-0.0285,-0.027719999999999998,-0.043586,-0.008329999999999999,-0.024788,-0.023052000000000003
-0.03682,-0.034901,-0.056629,-0.01202,-0.050538,-0.061780999999999996
-0.008977,-0.000259,-0.013849,0.007983,-0.005755,-0.014790000000000001
0.046932,0.052803,0.066524,0.039508,0.036128999999999994,0.051217
-0.026890999999999998,-0.021339999999999998,-0.026621000000000002,-0.037782,-0.032757,-0.020696
-0.030546000000000004,-0.020884999999999997,-0.024248,-0.011171,-0.023090000000000003,-0.017351000000000002
-0.021973,-0.014976,-0.007533,-0.026720999999999998,-0.021668,-0.020417
0.078047,0.082242,0.086603,0.152951,0.1277,0.106516
0.024769,0.046098,0.045875000000000006,0.006562,0.008599,0.028302
0.140348,0.125136,0.153157,0.121931,0.11266400000000001,0.114887
0.103736,0.082812,0.093166,0.056737,0.042386999999999994,0.047931999999999995
0.012842,0.007895,0.012557,0.018916,0.003307,0.018999
0.091335,0.07123499999999999,0.061834,0.028129,0.045523999999999995,0.026643
0.052869,0.054874,0.060198999999999996,0.046529,0.022709999999999998,0.028807
0.043231,0.049905,0.043744,0.039379,0.029639000000000002,0.035536
0.082392,0.07046999999999999,0.08185,0.07431199999999999,0.070615,0.072721
0.08671,0.055719000000000005,0.057539999999999994,0.011354999999999999,-0.009127,0.0037180000000000004
0.043705999999999995,0.044083,0.049943,0.005206,0.036246,0.050885999999999994
-0.040839,-0.014575,-0.025279,-0.02266,-0.032477,-0.041023
-0.042468000000000006,-0.024279000000000002,-0.031172,0.004304,0.020318,0.003242
-0.00752,0.035311,0.020266000000000003,0.020289,0.015724000000000002,0.017343
-0.066681,-0.043838999999999996,-0.069076,-0.009733,-0.018467,-0.022715
0.038154,0.048991,0.047333,0.043559,0.021812,0.021044
-0.019639,-0.013274,-0.015694,-0.024916999999999998,-0.013366,0.003872
-0.002175,-0.014828,-0.021932,-0.027153,0.008272,-0.025249999999999998
-0.057551,-0.048281,-0.057518,-0.05453,-0.031023000000000002,-0.036615
0.009556,0.009809,0.01068,0.032806,0.006131,0.012474
-0.021641,-0.001344,0.003961,-0.032258,0.01974,0.008853
-0.06307800000000001,-0.045141,-0.049198000000000006,-0.07441,-0.049431,-0.041137
0.012839,0.028168000000000002,0.042114000000000006,-0.00035999999999999997,0.036952,0.033705
-0.067793,-0.035373999999999996,-0.026247,-0.035805,-0.019471000000000002,-0.006404
0.115383,0.114654,0.11923600000000001,0.12878299999999998,0.109929,0.11127100000000001
-0.017798,0.0013830000000000001,-0.000431,-0.007076,-0.0022400000000000002,0.002988
-0.025046,-0.010364,-0.001935,0.008334000000000001,-0.003246,0.008778000000000001
-0.04215,-0.016135,-0.010919000000000002,0.000745,-0.005474,-0.016021
0.004642,0.023295,0.027509000000000002,0.025004,0.022976,0.028372
0.134612,0.112074,0.120017,0.087605,0.074483,0.084418
0.027360000000000002,0.023933,0.031594000000000004,0.000881,0.016319,0.022408
-0.035560999999999995,-0.008110000000000001,-0.010891999999999999,-0.003612,0.004288,-0.0036209999999999997
-0.020335000000000002,-0.01012,0.00962,-0.0069169999999999995,0.000638,-0.005783
0.023445999999999998,0.038999,0.051254,0.06170899999999999,0.062230999999999995,0.060515
-0.006913,0.021825999999999998,0.038174,0.020950000000000003,0.020841,0.011040000000000001
0.028294,0.019027000000000002,0.024773,-0.0021260000000000003,-0.006854,-0.006972000000000001
-0.010169999999999998,-0.005963,-0.009407,-0.00334,-0.0026379999999999997,-0.006017
-0.066734,-0.046907,-0.056222,-0.045086,-0.035352999999999996,-0.032789
0.021438000000000002,0.037989999999999996,0.040647,0.05192,0.045880000000000004,0.050605000000000004
0.068408,0.068338,0.07983900000000001,0.072213,0.074423,0.067419
0.036195,0.044500000000000005,0.046508,0.039915,0.046659,0.049433
0.022729,0.011328,0.028864,0.044827000000000006,0.004416,-0.001339
0.055746000000000004,0.069585,0.086183,0.08604300000000001,0.07635,0.076846
0.038924,0.055397,0.04606,0.048452,0.049941000000000006,0.06544900000000001
0.010294000000000001,0.017612000000000003,0.022061,-0.048734,-0.006565,-0.002277
0.02543,0.0444,0.050952000000000004,0.044329,0.049645,0.061421
-0.009115999999999999,0.009857,0.012771,0.0038129999999999995,0.023112,0.017946
-0.10443899999999999,-0.078373,-0.092056,-0.044065,-0.041917,-0.067249
0.030552000000000003,0.042394999999999995,0.020453000000000002,0.088071,0.072803,0.064972
-0.06107,-0.057251,-0.068695,-0.087709,-0.087282,-0.081688
0.030147,0.030754,0.041002000000000004,0.059254,0.063852,0.047379
-0.008396,0.004045,0.000504,0.008059,0.022671,0.020861
-0.037357999999999995,-0.024232,-0.024011,-0.030211000000000002,-0.026059000000000002,-0.027767
0.112765,0.117768,0.116101,0.134368,0.123171,0.134495
0.086405,0.064832,0.082653,0.056791999999999995,0.034573,0.045294999999999995
0.026201,0.030445000000000003,0.017769,0.000944,0.010955999999999999,0.036551
-0.016208,-0.038382,-0.030977,-0.014636,-0.021589999999999998,-0.009664
0.00046600000000000005,0.002524,-0.004318,-0.00728,0.010982,0.007776
0.011171,0.030106,0.030076000000000002,0.038168,0.047689,0.053204
0.031391,0.036642,0.029632000000000002,0.062718,0.031008,0.052361000000000005
0.017539,0.03381,0.044165,0.032823000000000005,0.040163000000000004,0.046935000000000004
-0.017273,-0.019906,-0.017624,-0.006816,-0.022756,-0.025882000000000002
-0.32041800000000004,-0.277835,-0.29726400000000003,-0.23616900000000002,-0.202954,-0.21847999999999998
-0.052627,-0.034095,-0.062652,-0.058082,-0.076181,-0.085733
0.054017,0.07315100000000001,0.09299400000000001,0.058339,0.07113699999999999,0.0785
0.04489,0.052461,0.025274,0.045210999999999994,0.049591,0.042095
0.06933500000000001,0.084832,0.088415,0.040361,0.044839000000000004,0.052415
0.041379,0.026593,0.046178,-0.021461,-0.025473,-0.031246
0.022765,0.019303999999999998,0.017568999999999998,0.000156,0.017769,0.0012859999999999998
-0.01662,-0.0148,-0.025512999999999997,0.011325,0.006755,0.005404
0.058121,0.076601,0.075878,0.042553,0.048052000000000004,0.054272
-0.008038,-0.012096,-0.011142,-0.001898,-0.005921999999999999,-0.010457000000000001
-0.032404999999999996,-0.02023,-0.029376000000000003,-0.010214,-0.029783,-0.029605000000000003
0.017196,0.034192,0.029592999999999998,0.032775,0.031054,0.055556999999999995
-0.014004,-0.0012790000000000002,-0.008652,0.004914,0.024745,0.025509
-0.031038,-0.024586,-0.034981,-0.014935,-0.013544,-0.016686
0.039915,0.035338,0.040774,0.009603,0.019303,0.022632
